Text,Sentiment
lo de urdangarin entre y asi vamos y la de lo de y la,negative
alguien cree que no dice la verdad vez que los dejan el pais hecho una cree que que no la verdad vez que que los el pais,negative
por ahi indulto a garzon pero por que indulto que de pais es este por y indulto a garzon por que,negative
frio psoe en sus al parece un no un politico,negative
el paro los millones de personas millones de,negative
el d urdangarin a su no se le ha otra cosa que decir que `` esta '' a su no se decir que,negative
este muerto que de buena le que esta muerto,negative
es verdad “ usuario pero a no el mas de españa que lleva años en la y ” es verdad “ usuario de españa en la,negative
esto se,negative
rajoy se a la con el deficit de que hay y le hacer veremos a la con el el deficit de que que hay,negative
que no tiene ni de me si algo de justicia porque el es ministro de justicia no no tiene de justicia ministro de de justicia,negative
a tan menos con el deficit en mi blog en usuario con el el deficit en mi mi blog en usuario,negative
soy de que un gran a las familias de que a las,negative
que miedo cuando se la y que a la realidad no a la,negative
de guindos `` las y la de la prima se riesgo no nos hacer perder el '' de guindos y la de la,negative
este pais me,negative
sobre la de las via usuario gracias usuario sobre la de las via usuario,negative
en el congreso porque el presidente de la comision de interior no el del ministro aqui esta en el el congreso el presidente de la,negative
mañana en de las de usuario `` y a en los ere '' mañana en de las de usuario usuario `` en los los ere,negative
el de pp no es que no se a la ley del es que la no es es que que no no se a la es que que la,negative
rt `` usuario el sigue ni ni ni la ue a la ” `` usuario usuario el la ue a la,negative
rt “ usuario el a es en realidad un para que chacon y rubalcaba no se a de mañana ” rt “ “ usuario usuario el para que no se,negative
muy si en hoy aqui gracias rt usuario usuario rt usuario usuario usuario,negative
ya esta rajoy su para las semanas los presupuestos `` '' se los presupuestos '' se,negative
nunca la final de la copa del rey en el el madrid no jugar la final de copa del rey contra el en el final de de la en el final de contra el en el,negative
ni ni yo os,negative
para usuario `` politicos si y no '' eres andalucia usuario griñan usuario ``,negative
el ministro de interior que la policia a su igual algo del ministro de que la,negative
rt “ usuario entre los por una trama de de de de rt “ “ usuario trama de,negative
rt usuario rt usuario no por todos los niños que rt usuario rt usuario todos los,negative
a alguien le que el despido los,negative
la de x les la la tiene mesa del congreso del congreso,negative
la no implica el tambien cree que a la infanta un cree que a la la infanta,negative
`` a los mas '' euros `` y no se el a '' los a los los mas y no no se,negative
y a mi tambien “ usuario me da leer esto “ usuario usuario me,negative
cuenta para la era zapatero en unos minutos presidente para la,negative
me he un y me ha,negative
en un pueblo de valencia a por de via usuario en un de valencia via usuario,negative
rt “ usuario usuario a este va a acabar antes la `` '' que la de los goya ” “ usuario usuario usuario va a '' que que la de los,negative
lo que y no lo que yo puedo hacerlo y tu no mi mas que el no os lo que y no no lo lo que mas que que el,negative
cuando el una de mi en el del mas y le a cabeza os en el,negative
la laboral es un en el dia de la mujer es un en el dia de de la la mujer,negative
me parece muy la sentencia del juicio de marta del castillo me parece la sentencia marta del del castillo,negative
en ajuste hasta el al empleo y la economia y para recortar lo social con de y la la economia,negative
rt usuario la de sigue y van meses rt usuario usuario la,negative
la d los d tiene l e llega con a ver como l las mechas d los a ver las mechas,negative
a años de por en y de,negative
en la el se ha en anuncia la por con la en la se ha con la,negative
la de la del se la despues de zapatero a rajoy al dia de ser y antes del nuevo gobierno de la despues de a rajoy al dia,negative
a los de bañez para mas a su reforma laboral via usuario a los a su reforma laboral via usuario,negative
`` quiere como y como '' denuncia el,negative
de del pp ha hablado hoy en la y no puede hacer el de el pais del pp en la no puede de el el pais,negative
dia de la la violencia y la la en la ue via usuario dia de de la la violencia y la en la la ue via usuario,negative
los de para de ya la,negative
malas noticias para zona euro malas noticias,negative
rt usuario zp entre el y el sin y sin hablar en adelante el sera de rajoy rt usuario y el de rajoy,negative
un al de la estaba en una de la,negative
pero que dice usuario de de verdad que intervencion mas mala de verdad verdad que,negative
rt usuario la de la corrupcion a rt usuario usuario la de la,negative
la de via usuario encima se de y es lo de siempre tambien con el via usuario es lo lo de con el,negative
si es que rt usuario en x hacer `` la calle '' via usuario es que rt usuario `` la la calle via usuario,negative
con los tambien se hacer la trama de la trama trama de,negative
en mi el presupuesto no se puede recortar en en gasto en mi no se se puede,negative
espero que psoe no se de con el amaiur o a o en contra a no ser si no no se con el si no,negative
usuario usuario si abogados de en el caso marta del castillo no hay con garzon usuario usuario en el marta del del castillo,negative
el presidente la de los y lo a la de el presidente de los y lo a la,negative
usuario pues que por mi calle zona que se a que se,negative
las de las en valencia son de las,negative
la d x la se esta como el para que las cumplan objetivos d deficit como el para que que las,negative
bañez `` los minijobs no a con euros no son '' habla de de horas para los minijobs no son,negative
`` que '' dice un policial en la '' dice en la,negative
esperanza a `` '' por `` zapatero '' dira ahora `` rajoy hoy estoy que te '',negative
la de la nacional de del algo que ver con la de montoro de la nacional de con la,negative
a hay que algo para los y no tengo cuenta de me la la que todo lo hay que para los y no todo lo,negative
las con el yo y creo con navarro que son malas para la justicia y la economia con el para la la justicia y la la economia,negative
el gobierno andalucia si no el deficit no el gobierno si no el deficit,negative
de sobre navarro su que una,negative
la del debate con la y el y tu mas montoro dice que el psoe el deficit con la y el dice que que el el psoe el deficit,negative
es l politica d d l y el control dl dl gob y el,negative
malas noticias un abrazo para los de la y malas noticias para los de la,negative
la junta dinero de los para la via usuario la junta de los via usuario,negative
`` el en en el congreso del psoe '' son muchos en el psoe los que que ni rubalcaba ni chacon `` el en el el congreso del psoe en el el psoe los que,negative
tanto `` '' que mis y unos meses despues d o '' que,negative
creo usuario que lo de usuario es un asi que nos hemos usuario que lo de de usuario es un que nos,negative
dicen que les `` al respeto '' que os parece los contra el mundo usuario '' que contra el el mundo,negative
pero hay que ser tan mal hablado en el mundo del es un decir cada goya hay que en el el mundo es un,negative
`` con camara '' cuesta mucho la policial sobre de,negative
si la del ministro,negative
montoro pide a la camara que `` de la '' ante la crisis a la ante la la crisis,negative
dentro de un en la las de la politica economica del gobierno y el estado de la de un en la de la la politica del gobierno y el de la,negative
de el politico de mundo contra,negative
tanto el que o la crisis como el que en el para miedo el que la crisis como el el que en el,negative
a una laboral social y ahora el pp esta la contra personas el pp,negative
hasta hace nada te la o la vida ahora desde la parece que nos la vida sin mañana me parece que que nos,negative
la ue que españa impuestos todo para la huelga y la de la ue que españa para la la huelga y la,negative
`` el pero no '' dice la ya no es `` '' `` el pero no '' dice no es,negative
la banca otro las de los de los que no se que no a las de los de los que no no se que no a las,negative
la hoy la y en la en la,negative
ha muerto para la en los y no los en los buenos para la en los y no en los,negative
y de pero en realidad no me he,negative
en las de en lo que va de año en las lo que,negative
segun el `` que dice '' no esta a la se trata de de el pais `` que '' no a la se trata trata de de el el pais,negative
contra la reforma laboral el cierre del congreso dl pp los goya os lo en unos minutos en usuario os la reforma reforma laboral del congreso en usuario,negative
de publico de mañana urdangarin dentro la de las que a noos de las,negative
ahora si ahora si,negative
cuando en niños y adolescentes es no se para los no se para los,negative
un en un en gran via,negative
los a la para las elecciones lo que han en es la cifra del de paro en andalucia a la las elecciones lo que es la en andalucia,negative
usuario y con la no se a la el es por con la no se a la,negative
el esta en esta en,negative
me que con zp en la d con el que el en gracias a zp en la con el,negative
rajoy `` ya sabemos que las cosas estan mal '' no si aun cree que puede el este año que las '' no cree que,negative
de niños como el o el con riesgo d o a la de usuario como el a la de usuario,negative
y usuario sus mas hasta que las elecciones en andalucia usuario las elecciones en andalucia,negative
una de años en un incendio esta en de en barcelona en un,negative
ante la denuncia de la de sobre de diputados del psoe el ante la de la del psoe,negative
que hay mas “ usuario la cifra en las para cargos del psoe o de la junta que hay “ usuario usuario la en las del psoe de la la junta,negative
se de la en las via usuario de la en las via usuario,negative
y gob vasco de la de a el pais y se con lo que esta a el el pais lo que,negative
la economica hace de control de gasto publico y de en la de y de en la,negative
el gobierno de rajoy ha `` '' las de bruselas sobre las cifras oficiales del deficit publico el gobierno las cifras,negative
el gran a los de los a los de los,negative
lleva a los en las a los en las,negative
la de mas se da en el de y los mas son los segun del trabajo en el y los los mas,negative
desde el de de que tiene la junta para el sin lo ha desde el la junta para el,negative
el gobierno pide a griñan que sobre los ere el gobierno los ere,negative
si en se puede decir “ ls españoles nos ” los de para decir “ ls son ” se puede para decir,negative
si el gobierno quiere que el deficit esta deberia aun no hay oficiales de las y es si el el gobierno que el el deficit de las,negative
ya que usuario con una yo con otra via usuario que usuario via usuario,negative
todo va a acabar porque la gente no creo que ni a va a la gente creo que,negative
rajoy `` que no '' dinero publico para el sector aunque dice que hasta ahora con el lo ha que no para el dice que con el,negative
de no te los no tienen '',negative
como el gobierno asi cada vez que un ministro una publica vamos a que en el como el el gobierno cada vez vez que vamos a en el,negative
de al dia el de los ere iba mas que al dia de los los ere,negative
españoles `` '' en el de contra el de en el contra el,negative
se ha la de a ver habra que o algo se ha a ver,negative
x una de para x no son muchos euros para una via usuario no son via usuario,negative
en los del del interior para la de valencia se contra la policia en los para la de valencia,negative
usuario con de de la de la,negative
por que casi todos los de este pais no al no para el rey por que todos los para el,negative
si las el de como ha hecho andalucia españa millones menos de debate el de,negative
esto es lo que se evitar prima de riesgo su y los lo que que se,negative
usuario en la junta de andalucia con la del de cargos de la y del sector publico en la la junta con la de la,negative
cuando era y me que las la que cuando me que los son quienes son que las que los,negative
ayer de los `` '' con de otro `` '' de los,negative
vamos a hacer todo lo para evitar que la del pp contra los derechos de la mujer adelante vamos a todo lo que la del pp de la la mujer,negative
que buena rt usuario en que no mi camara porque no rt usuario que no,negative
rubalcaba le dice a rajoy que tiene de que puede recortar derechos rajoy ni le a rajoy de que,negative
del por que iba a la ante si que el gobierno hara por decreto lo que la quiere por que que el el gobierno lo que que la,negative
dice que los politicos no han la crisis el se de la de los dice que que los los politicos la crisis de la de los,negative
“ usuario `` hemos al una y en una '' sin “ usuario usuario ``,negative
el no se hasta para que de a y la no se para que,negative
al eta por en en la de un en la de un,negative
esperanza a los que cumplan con su de denunciar durante la huelga a los la huelga,negative
rt usuario usuario en la por mala de encima de los mas aun rt usuario usuario usuario en la de los,negative
esta la un de las en se ya me las se de,negative
millones de de es lo que en europa millones de es lo lo que,negative
ahora si la gente se lo de y yo igual la gente de increible lo la falta de respeto por de la ahora si la gente se lo la gente de la,negative
se que hay con la los de siempre los que nunca y luego van de buenos x el mundo que hay con la los que el mundo,negative
parece que algunos dicen que se ha un nuevo congreso psoe parece que que se se ha,negative
a que pero no lo por el que pero no no lo por el el que,negative
en su `` '' del congreso la del congreso,negative
“ tiene su primera en la reforma laboral del pp ” en la la reforma reforma laboral del pp,negative
las dos por a las victimas del a las,negative
es d una gran que usuario la de las de la junta en andalucia que usuario de las de la la junta en andalucia,negative
mucho se sobre el pero poco sobre las de en las que se el de sobre el en las que se,negative
su intervencion en me tengo que `` lo antes de un que estan '' de un,negative
en hombre estan personas en y adolescentes en la junta no los quieren la junta,negative
a por denunciar la reforma que los mercados han hecho a la y ellos que son la reforma que los los mercados a la,negative
rajoy sobre la economia y de ahi l de los mercados y de europa '' sobre la la economia y de de los los mercados y de,negative
bruselas sera con los objetivos de deficit de españa de de deficit de españa,negative
