Ponderation,Model,Remove Stopwords,Apply Stemming,Precision,Recall,F1-Score
TF-IDF,Logistic Regression,True,True,0.8452460483076208,0.7665715372907154,0.8033956171692704
TF-IDF,KNN,True,True,0.7648603020212847,0.8049847792998477,0.7829182082510067
TF-IDF,Decision Tree,True,True,0.6621862137458849,0.6951103500761034,0.6768657520607135
TO,Logistic Regression,True,True,0.8097651771212828,0.8351598173515982,0.8218144542220417
TO,KNN,True,True,0.5887620955065926,0.8228500761035008,0.6856625120517237
TO,Decision Tree,True,True,0.6795928955637222,0.6908675799086758,0.6837642059617095
TF-IDF,Logistic Regression,True,False,0.8452460483076208,0.7665715372907154,0.8033956171692704
TF-IDF,KNN,True,False,0.7648603020212847,0.8049847792998477,0.7829182082510067
TF-IDF,Decision Tree,True,False,0.6514617252666033,0.6799847792998478,0.6639132673869517
TO,Logistic Regression,True,False,0.8097651771212828,0.8351598173515982,0.8218144542220417
TO,KNN,True,False,0.5887620955065926,0.8228500761035008,0.6856625120517237
TO,Decision Tree,True,False,0.6772754105550649,0.6730403348554034,0.6741087601262619
TF-IDF,Logistic Regression,False,True,0.8452460483076208,0.7665715372907154,0.8033956171692704
TF-IDF,KNN,False,True,0.7648603020212847,0.8049847792998477,0.7829182082510067
TF-IDF,Decision Tree,False,True,0.6582188949393624,0.6813356164383562,0.668525436345985
TO,Logistic Regression,False,True,0.8097651771212828,0.8351598173515982,0.8218144542220417
TO,KNN,False,True,0.5887620955065926,0.8228500761035008,0.6856625120517237
TO,Decision Tree,False,True,0.6690680114816876,0.6935882800608828,0.6800632895567447
TF-IDF,Logistic Regression,False,False,0.8452460483076208,0.7665715372907154,0.8033956171692704
TF-IDF,KNN,False,False,0.7648603020212847,0.8049847792998477,0.7829182082510067
TF-IDF,Decision Tree,False,False,0.6497844384209479,0.6813356164383562,0.6636590646615068
TO,Logistic Regression,False,False,0.8097651771212828,0.8351598173515982,0.8218144542220417
TO,KNN,False,False,0.5887620955065926,0.8228500761035008,0.6856625120517237
TO,Decision Tree,False,False,0.6722161445025213,0.6908485540334854,0.6801155688228633
